,dt,sensor_std,integration_method
0,0.98836612701416,1.0159297358989716,RK2
1,0.98836612701416,1.0159297358989716,RK2
2,0.3433108052238822,1.8197929310053587,RK4
3,0.3433108052238822,1.8197929310053587,RK4
4,0.3433108052238822,1.8197929310053587,RK4
5,0.3433108052238822,1.8197929310053587,RK4
6,0.3433108052238822,1.8197929310053587,RK4
7,0.2941478535532951,0.9227748979628086,RK4
8,0.2941478535532951,0.9227748979628086,RK4
9,0.2941478535532951,0.9227748979628086,RK4
10,0.2941478535532951,0.9227748979628086,RK4
11,0.2941478535532951,0.9227748979628086,RK4
12,0.2941478535532951,0.9227748979628086,RK4
13,0.2941478535532951,0.9227748979628086,RK4
14,0.2941478535532951,0.9227748979628086,RK4
15,0.2941478535532951,0.9227748979628086,RK4
16,0.2941478535532951,0.9227748979628086,RK4
17,0.2941478535532951,0.9227748979628086,RK4
18,0.2941478535532951,0.9227748979628086,RK4
19,0.2941478535532951,0.9227748979628086,RK4
20,0.2941478535532951,0.9227748979628086,RK4
21,0.2941478535532951,0.9227748979628086,RK4
22,0.2941478535532951,0.9227748979628086,RK4
23,0.2941478535532951,0.9227748979628086,RK4
24,0.2941478535532951,0.9227748979628086,RK4
25,0.1990884255966677,0.831965457711674,RK2
26,0.1990884255966677,0.831965457711674,RK2
27,0.1990884255966677,0.831965457711674,RK2
28,0.1990884255966677,0.831965457711674,RK2
29,0.1990884255966677,0.831965457711674,RK2
30,0.1990884255966677,0.831965457711674,RK2
31,0.1990884255966677,0.831965457711674,RK2
32,0.1990884255966677,0.831965457711674,RK2
33,0.1990884255966677,0.831965457711674,RK2
34,0.1990884255966677,0.831965457711674,RK2
35,0.1990884255966677,0.831965457711674,RK2
36,0.1990884255966677,0.831965457711674,RK2
37,0.1955188937055194,0.5937418991693774,RK2
38,0.1955188937055194,0.5937418991693774,RK2
39,0.1955188937055194,0.5937418991693774,RK2
40,0.1955188937055194,0.5937418991693774,RK2
41,0.1955188937055194,0.5937418991693774,RK2
42,0.1955188937055194,0.5937418991693774,RK2
43,0.1955188937055194,0.5937418991693774,RK2
44,0.1,1.498539045637717,RK1
45,0.1,1.498539045637717,RK1
46,0.1,1.498539045637717,RK1
47,0.1,1.498539045637717,RK1
48,0.1,1.498539045637717,RK1
49,0.1,1.498539045637717,RK1
50,0.1,1.498539045637717,RK1
51,0.1,1.498539045637717,RK1
52,0.1,1.498539045637717,RK1
53,0.1,1.498539045637717,RK1
54,0.1,1.498539045637717,RK1
55,0.1,1.498539045637717,RK1
56,0.1,1.498539045637717,RK1
57,0.1,1.498539045637717,RK1
58,0.1,1.498539045637717,RK1
59,0.1,1.498539045637717,RK1
60,0.1,1.498539045637717,RK1
61,0.1,1.498539045637717,RK1
62,0.1,1.498539045637717,RK1
63,0.1,1.498539045637717,RK1
64,0.1,1.498539045637717,RK1
65,0.1,1.498539045637717,RK1
66,0.1,1.498539045637717,RK1
67,0.1,1.498539045637717,RK1
68,0.1,1.498539045637717,RK1
69,0.1,1.498539045637717,RK1
70,0.1,1.498539045637717,RK1
71,0.1,1.498539045637717,RK1
72,0.1,1.498539045637717,RK1
73,0.1,1.498539045637717,RK1
74,0.1,1.4814507072358667,RK1
75,0.1,1.4814507072358667,RK1
76,0.1,1.4814507072358667,RK1
77,0.1,1.4814507072358667,RK1
78,0.1,1.4814507072358667,RK1
79,0.1,1.4814507072358667,RK1
80,0.1,1.4814507072358667,RK1
81,0.1,1.4814507072358667,RK1
82,0.1,1.4814507072358667,RK1
83,0.1,1.4814507072358667,RK1
84,0.1,1.4814507072358667,RK1
85,0.1,1.4814507072358667,RK1
86,0.1,1.4814507072358667,RK1
87,0.1,1.4814507072358667,RK1
88,0.1,1.4814507072358667,RK1
89,0.1,1.4814507072358667,RK1
90,0.1,1.4814507072358667,RK1
91,0.1,1.4814507072358667,RK1
92,0.1,1.4814507072358667,RK1
93,0.1,1.4814507072358667,RK1
94,0.1,1.4814507072358667,RK1
95,0.1,1.4814507072358667,RK1
96,0.1,1.4814507072358667,RK1
97,0.1,1.4814507072358667,RK1
98,0.1,1.4814507072358667,RK1
99,0.1,1.4814507072358667,RK1
100,0.1,1.4814507072358667,RK1
101,0.1,1.4814507072358667,RK1
102,0.1,1.4814507072358667,RK1
103,0.1,1.4814507072358667,RK1
104,0.1,1.4814507072358667,RK1
105,0.1,1.4814507072358667,RK1
106,0.11897689257781931,0.7565140320246319,RK2
107,0.11897689257781931,0.7565140320246319,RK2
108,0.11897689257781931,0.7565140320246319,RK2
109,0.11897689257781931,0.7565140320246319,RK2
110,0.11897689257781931,0.7565140320246319,RK2
111,0.11897689257781931,0.7565140320246319,RK2
112,0.11897689257781931,0.7565140320246319,RK2
113,0.11897689257781931,0.7565140320246319,RK2
114,0.11897689257781931,0.7565140320246319,RK2
115,0.11897689257781931,0.7565140320246319,RK2
116,0.11897689257781931,0.7565140320246319,RK2
117,0.11897689257781931,0.7565140320246319,RK2
118,0.11897689257781931,0.7565140320246319,RK2
119,0.11897689257781931,0.7565140320246319,RK2
120,0.11897689257781931,0.7565140320246319,RK2
121,0.11897689257781931,0.7565140320246319,RK2
122,0.11897689257781931,0.7565140320246319,RK2
123,0.11897689257781931,0.7565140320246319,RK2
124,0.11897689257781931,0.7565140320246319,RK2
125,0.11897689257781931,0.7565140320246319,RK2
126,0.11897689257781931,0.7565140320246319,RK2
127,0.11897689257781931,0.7565140320246319,RK2
128,0.11897689257781931,0.7565140320246319,RK2
129,0.11897689257781931,0.7565140320246319,RK2
130,0.11897689257781931,0.7565140320246319,RK2
131,0.11897689257781931,0.7565140320246319,RK2
132,0.11897689257781931,0.7565140320246319,RK2
133,0.11897689257781931,0.7565140320246319,RK2
134,0.11897689257781931,0.7565140320246319,RK2
135,0.11897689257781931,0.7565140320246319,RK2
136,0.11897689257781931,0.7565140320246319,RK2
137,0.11897689257781931,0.7565140320246319,RK2
